,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,519013.7792474502,32450.375665728312,15.994076142409474,1.405275056497579e-57,0.0,26539.98944529344,63746.38510407618,32357.573179894825,-978.1821996232029,519013.7792474502,1053026880.8468921,0.0,0.0,-4.1651365595954555e-08,0.0,0.0,0.0004552755072909842,0.0,0.0,-1.800794162615267e-20,0.0,0.0
dataB,492473.78980215674,32052.87548017796,15.364418400049969,2.835719463407924e-53,-26539.98944529344,0.0,37206.39565878274,5817.583734601387,-27518.17164491664,492473.78980215674,0.0,1027386826.5477935,0.0,5.910157144264634e-10,0.0,0.0,0.0,0.0004441900459981041,0.0,2.5552527109853954e-22,0.0,0.0
dataC,455267.394143374,33542.92237129281,13.572681268016396,5.815510175394939e-42,-63746.38510407618,-37206.39565878274,0.0,-31388.811924181355,-64724.56730369938,455267.394143374,0.0,0.0,1125127641.2065756,0.0,-5.22069390911413e-10,0.0,0.0,0.0,0.00048644822552436936,0.0,-2.2571637164393307e-22,0.0
dataD,486656.20606755535,32850.75314527471,14.814156738368615,1.1866914398327953e-49,-32357.573179894825,-5817.583734601387,31388.811924181355,0.0,-33335.75537951803,486656.20606755535,-4.1651365595954555e-08,5.910157144264634e-10,0.0,1079171982.2117765,0.0,0.0,-1.800794162615267e-20,2.5552527109853954e-22,0.0,0.00046657932536398424,0.0,0.0
dataE,519991.9614470734,32913.617430693324,15.798687656925827,3.1766083191947227e-56,978.1821996232029,27518.17164491664,64724.56730369938,33335.75537951803,0.0,519991.9614470734,0.0,0.0,-5.22069390911413e-10,0.0,1083306212.3740394,0.0,0.0,0.0,-2.2571637164393307e-22,0.0,0.0004683667571652201,0.0
dataF,0.0,33095.588370474805,0.0,1.0,-519013.7792474502,-492473.78980215674,-455267.394143374,-486656.20606755535,-519991.9614470734,0.0,0.0,0.0,0.0,0.0,0.0,1095317969.5879073,0.0,0.0,0.0,0.0,0.0,0.00047356003281512723
