,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,547167.9448444267,46256.820703218546,11.82891380181593,2.766991223148697e-32,0.0,52152.7747466779,-74743.91581494024,56544.673534385394,72985.45405670488,547167.9448444267,2139693461.5697076,0.0,0.0,0.0,0.0,4.6855985130088185e-08,0.0008534574222841292,0.0,0.0,0.0,0.0,1.8689400610857433e-20
dataB,495015.1700977488,49585.88244528459,9.982985996951289,1.8093809829342584e-23,-52152.7747466779,0.0,-126896.69056161813,4391.898787707498,20832.679310026986,495015.1700977488,0.0,2458759737.877582,0.0,-5.19727741744483e-08,0.0,0.0,0.0,0.0009807230734656513,0.0,-2.0730329214232046e-20,0.0,0.0
dataC,621911.8606593669,49025.3644070282,12.68551224823146,7.114717575880706e-37,74743.91581494024,126896.69056161813,0.0,131288.58934932563,147729.36987164512,621911.8606593669,0.0,0.0,2403486355.241908,0.0,0.0,0.0,0.0,0.0,0.0009586762338073389,0.0,0.0,0.0
dataD,490623.2713100413,47834.87686168981,10.256601532154747,1.1052835554193105e-24,-56544.673534385394,-4391.898787707498,-131288.58934932563,0.0,16440.78052231949,490623.2713100413,0.0,-5.19727741744483e-08,0.0,2288175444.3730273,0.0,0.0,0.0,-2.0730329214232046e-20,0.0,0.000912682284431435,0.0,0.0
dataE,474182.4907877218,48098.963868191204,9.858476205166408,6.299817059065905e-23,-72985.45405670488,-20832.679310026986,-147729.36987164512,-16440.78052231949,0.0,474182.4907877218,0.0,0.0,0.0,0.0,2313510325.193563,0.0,0.0,0.0,0.0,0.0,0.0009227875833760361,0.0
dataF,1.2259675618538198e-11,49217.45798564933,2.490920116620577e-16,0.9999999999999998,-547167.9448444267,-495015.1700977488,-621911.8606593669,-490623.2713100413,-474182.4907877218,0.0,4.6855985130088185e-08,0.0,0.0,0.0,0.0,2422358170.5691566,1.8689400610857433e-20,0.0,0.0,0.0,0.0,0.0009662036161881779
