,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,487846.29444532446,32166.05592681625,15.166494007075825,5.894227388705591e-52,0.0,1584.2311429483816,11210.542432090733,-31794.389949386124,27773.42957478325,487846.29444532446,1034655153.8870708,-1.2513239251976072e-08,0.0,0.0,0.0,0.0,0.00041201878349001814,-4.9830028824091204e-21,0.0,0.0,0.0,0.0
dataB,486262.0633023761,30758.06371154274,15.809254700252602,2.686258762393631e-56,-1584.2311429483816,0.0,9626.311289142352,-33378.621092334506,26189.19843183487,486262.0633023761,-1.2513239251976072e-08,946058483.2833225,0.0,0.0,0.0,0.0,-4.9830028824091204e-21,0.00037673795363450235,0.0,0.0,0.0,0.0
dataC,476635.7520132337,32162.140288527444,14.819777158401813,1.0914593025829707e-49,-11210.542432090733,-9626.311289142352,0.0,-43004.93238147686,16562.887142692518,476635.7520132337,0.0,0.0,1034403267.9389203,0.0,1.4329316883588656e-08,0.0,0.0,0.0,0.00041191847785529016,0.0,5.70619852270467e-21,0.0
dataD,519640.6843947106,32993.85442770126,15.74962044926846,6.909476323889123e-56,31794.389949386124,33378.621092334506,43004.93238147686,0.0,59567.819524169376,519640.6843947106,0.0,0.0,0.0,1088594429.9963424,0.0,0.0,0.0,0.0,0.0,0.0004334983990328214,0.0,0.0
dataE,460072.8648705412,31023.73909730964,14.829703906014295,9.414731077070743e-50,-27773.42957478325,-26189.19843183487,-16562.887142692518,-59567.819524169376,0.0,460072.8648705412,0.0,0.0,1.4329316883588656e-08,0.0,962472387.5779388,0.0,0.0,0.0,5.70619852270467e-21,0.0,0.00038327427334873976,0.0
dataF,0.0,32169.070328949532,0.0,1.0,-487846.29444532446,-486262.0633023761,-476635.7520132337,-519640.6843947106,-460072.8648705412,0.0,0.0,0.0,0.0,0.0,0.0,1034849085.8289012,0.0,0.0,0.0,0.0,0.0,0.0004120960107695157
