,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,462231.35830911354,79296.69522756261,5.829137733705291,5.571450525253203e-09,0.0,90586.81611229165,-107854.57848971093,5053.206555666926,-80915.26212957816,462231.3583091136,6287965874.01295,0.0,0.0,0.0,-1.1892699506506986e-06,2.6411483972501903e-23,0.0028617491984571967,0.0,0.0,0.0,-5.412548980409523e-19,1.2020269289428518e-35
dataB,371644.5421968219,82338.46244137739,4.513620137872044,6.37303213202629e-06,-90586.81611229165,0.0,-198441.39460200258,-85533.60955662472,-171502.0782418698,371644.54219682195,0.0,6779622397.210114,-2.812345667275787e-07,0.0,-2.3473687140427246e-23,1.0578486486376424e-24,0.0,0.0030855095828750904,-1.2799414183166854e-19,0.0,-1.0683233132129165e-35,4.814430585317084e-37
dataC,570085.9367988245,85135.80225939663,6.696195039800695,2.13916176348834e-11,107854.57848971093,198441.39460200258,0.0,112907.78504537785,26939.31636013277,570085.9367988245,0.0,-2.812345667275787e-07,7248104826.351086,0.0,3.7813319276028894e-07,-5.36467583715239e-23,0.0,-1.2799414183166854e-19,0.003298723083544082,0.0,1.7209418482438616e-19,-2.4415458169711316e-35
dataD,457178.1517534466,79424.41560288408,5.756141210270932,8.605840579427821e-09,-5053.206555666926,85533.60955662472,-112907.78504537785,0.0,-85968.46868524508,457178.15175344667,0.0,0.0,0.0,6308237793.859656,1.617424450519688e-08,4.454028642784829e-24,0.0,0.0,0.0,0.0028709752584477983,7.361145428554622e-21,2.027096385982808e-36
dataE,543146.6204386917,77092.15523416168,7.0454201051835215,1.8490278164026125e-12,80915.26212957816,171502.0782418698,-26939.31636013277,85968.46868524508,0.0,543146.6204386917,-1.1892699506506986e-06,-2.3473687140427246e-23,3.7813319276028894e-07,1.617424450519688e-08,5943200398.648081,-4.570669483186452e-07,-5.412548980409523e-19,-1.0683233132129165e-35,1.7209418482438616e-19,7.361145428554622e-21,0.002704841170877291,-2.080181411921998e-19
dataF,-4.132632166994816e-11,71579.72523318113,-5.773467491712464e-16,0.9999999999999996,-462231.3583091136,-371644.54219682195,-570085.9367988245,-457178.15175344667,-543146.6204386917,0.0,2.6411483972501903e-23,1.0578486486376424e-24,-5.36467583715239e-23,4.454028642784829e-24,-4.570669483186452e-07,5123657064.457708,1.2020269289428518e-35,4.814430585317084e-37,-2.4415458169711316e-35,2.027096385982808e-36,-2.080181411921998e-19,0.0023318544965359018
