,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,526474.0,77146.63391638685,6.824328856273931,8.833731465873033e-12,0.0,98818.91666666657,159722.40000000008,155603.70000000007,-3935.6666666665114,526474.0000000001,5951603124.62901,0.0,0.0,0.0,0.0,0.0,0.0027696262973913293,0.0,0.0,0.0,0.0,0.0
dataB,427655.08333333343,98781.7408632889,4.329292838898191,1.4958891133219225e-05,-98818.91666666657,0.0,60903.48333333351,56784.7833333335,-102754.58333333308,427655.0833333335,0.0,9757832327.981958,0.0,1.3056173742397111e-06,0.0,0.0,0.0,0.004540885616058061,0.0,6.075795274488714e-19,0.0,0.0
dataC,366751.5999999999,73646.80326334672,4.9798712740941,6.3626579707401e-07,-159722.40000000008,-60903.48333333351,0.0,-4118.700000000012,-163658.0666666666,366751.6,0.0,0.0,5423851630.910098,-5.784802582073246e-07,0.0,0.0,0.0,0.0,0.002524032902656601,-2.692004325729638e-19,0.0,0.0
dataD,370870.29999999993,92178.20951765595,4.023405335606599,5.7362646844071033e-05,-155603.70000000007,-56784.7833333335,4118.700000000012,0.0,-159539.36666666658,370870.3,0.0,1.3056173742397111e-06,-5.784802582073246e-07,8496822309.880879,0.0,0.0,0.0,6.075795274488714e-19,-2.692004325729638e-19,0.003954064479925203,0.0,0.0
dataE,530409.6666666665,80881.30971315586,6.55787682652216,5.4579260026565215e-11,3935.6666666665114,102754.58333333308,163658.0666666666,159539.36666666658,0.0,530409.6666666666,0.0,0.0,0.0,0.0,6541786260.915441,-8.460460628388788e-07,0.0,0.0,0.0,0.0,0.0030442727582367306,-3.937143279507603e-19
dataF,-6.859762643975748e-11,87651.9329360509,-7.826139611753336e-16,0.9999999999999993,-526474.0000000001,-427655.0833333335,-366751.6,-370870.3,-530409.6666666666,0.0,0.0,0.0,0.0,0.0,-8.460460628388788e-07,7682861347.425965,0.0,0.0,0.0,0.0,-3.937143279507603e-19,0.0035752812110381987
