,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,431654.1399690693,64494.4400821829,6.692889176478286,2.1880685054919782e-11,0.0,-91972.93845464551,-130915.8323928942,-122609.95206101192,-42194.947452302906,431654.1399690693,4159532801.5142794,1.2285810674102954e-07,1.737210130067191e-24,0.0,-2.572193046315415e-25,0.0,0.0017168904369277791,5.0710961694047794e-20,7.170515540015954e-37,0.0,-1.0616994393080295e-37,0.0
dataB,523627.0784237148,68572.64112458094,7.636093197466364,2.2391226773140785e-14,91972.93845464551,0.0,-38942.893938248686,-30637.01360636641,49777.991002342605,523627.0784237148,1.2285810674102954e-07,4702207110.8005705,8.639399911976073e-08,0.0,-5.891154713516305e-24,0.0,5.0710961694047794e-20,0.0019408849037200184,3.5660021924256715e-20,0.0,-2.4316353957867527e-36,0.0
dataC,562569.9723619635,54830.607522968894,10.260144794607633,1.0654685713794375e-24,130915.8323928942,38942.893938248686,0.0,8305.880331882276,88720.88494059129,562569.9723619635,1.737210130067191e-24,8.639399911976073e-08,3006395521.337853,0.0,1.9718402509557704e-08,0.0,7.170515540015954e-37,3.5660021924256715e-20,0.0012409210280366976,0.0,8.138975773391583e-21,0.0
dataD,554264.0920300812,59927.436050735734,9.248920503804476,2.2677128383774874e-20,122609.95206101192,30637.01360636641,-8305.880331882276,0.0,80415.00460870902,554264.0920300812,0.0,0.0,0.0,3591297591.615021,-6.6712743832337385e-09,0.0,0.0,0.0,0.0,0.001482345442488375,-2.7536379053256886e-21,0.0
dataE,473849.0874213722,60500.35440714021,7.83217044040074,4.7951886089754124e-15,42194.947452302906,-49777.991002342605,-88720.88494059129,-80415.00460870902,0.0,473849.0874213722,-2.572193046315415e-25,-5.891154713516305e-24,1.9718402509557704e-08,-6.6712743832337385e-09,3660292883.3895693,0.0,-1.0616994393080295e-37,-2.4316353957867527e-36,8.138975773391583e-21,-2.7536379053256886e-21,0.0015108239669509394,0.0
dataF,0.0,58499.44744256021,0.0,1.0,-431654.1399690693,-523627.0784237148,-562569.9723619635,-554264.0920300812,-473849.0874213722,0.0,0.0,0.0,0.0,0.0,0.0,3422185351.0848646,0.0,0.0,0.0,0.0,0.0,0.00141254260587462
