,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,512489.3633982482,63924.432645212146,8.017112427772684,1.0826002295293313e-15,0.0,73741.81115572061,-29462.413629335817,56319.24339373136,19888.9930278089,512489.3633982482,4086333089.0122647,-1.4544858955958448e-08,0.0,0.0,0.0,0.0,0.0016152237391533113,-5.749213526296123e-21,0.0,0.0,0.0,0.0
dataB,438747.5522425276,62400.5546509672,7.03114827579064,2.0484067305293683e-12,-73741.81115572061,0.0,-103204.22478505643,-17422.567761989252,-53852.81812791171,438747.5522425276,-1.4544858955958448e-08,3893829220.7483444,0.0,0.0,0.0,0.0,-5.749213526296123e-21,0.0015391318467094957,0.0,0.0,0.0,0.0
dataC,541951.777027584,56119.75459259199,9.657058926254171,4.588478344672508e-22,29462.413629335817,103204.22478505643,0.0,85781.65702306718,49351.40665714472,541951.777027584,0.0,0.0,3149426855.5327497,0.0,0.0,5.6030459093369115e-09,0.0,0.0,0.00124488848827864,0.0,0.0,2.2147418155073622e-21
dataD,456170.12000451685,57174.16818251823,7.97860527761901,1.4799602783676256e-15,-56319.24339373136,17422.567761989252,-85781.65702306718,0.0,-36430.25036592246,456170.12000451685,0.0,0.0,0.0,3268885507.36288,0.0,0.0,0.0,0.0,0.0,0.0012921074609076961,0.0,0.0
dataE,492600.3703704393,61009.16466983689,8.07420283552878,6.791889297475706e-16,-19888.9930278089,53852.81812791171,-49351.40665714472,36430.25036592246,0.0,492600.3703704393,0.0,0.0,0.0,0.0,3722118173.7112746,0.0,0.0,0.0,0.0,0.0,0.0014712588286741044,0.0
dataF,1.3318479778514461e-12,59718.49115380563,2.2302103621828906e-17,1.0,-512489.3633982482,-438747.5522425276,-541951.777027584,-456170.12000451685,-492600.3703704393,0.0,0.0,0.0,5.6030459093369115e-09,0.0,0.0,3566298185.687162,0.0,0.0,2.2147418155073622e-21,0.0,0.0,0.0014096671428744604
