,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,579534.142857143,112799.33560402793,5.137744293916288,2.7805587807128367e-07,0.0,191998.89285714296,-63468.98214285716,23789.742857142934,-25476.35714285716,579534.1428571428,12723690112.710123,0.0,0.0,0.0,0.0,4.853919596738978e-07,0.0048285513483276405,0.0,0.0,0.0,0.0,1.8420285157759023e-19
dataB,387535.25,113261.84566004896,3.421586923130072,0.0006225682093227216,-191998.89285714296,0.0,-255467.87500000012,-168209.15000000002,-217475.25000000012,387535.2499999999,0.0,12828245682.320751,1.7934779025148266e-07,0.0,0.0,0.0,0.0,0.004868229455240528,6.806123119686111e-20,0.0,0.0,0.0
dataC,643003.1250000001,114101.70994678813,5.635350471959339,1.7470267362146875e-08,63468.98214285716,255467.87500000012,0.0,87258.7250000001,37992.625,643003.125,0.0,1.7934779025148266e-07,13019200212.780972,0.0,0.0,0.0,0.0,6.806123119686111e-20,0.00494069536311437,0.0,0.0,0.0
dataD,555744.4,100256.0695197942,5.543249427809215,2.9690944480852355e-08,-23789.742857142934,168209.15000000002,-87258.7250000001,0.0,-49266.10000000009,555744.3999999999,0.0,0.0,0.0,10051279475.557806,0.0,1.384681675844455e-06,0.0,0.0,0.0,0.0038143902149613985,0.0,5.254770049943643e-19
dataE,605010.5000000001,116329.99888240028,5.200812394158228,1.9841930895036742e-07,25476.35714285716,217475.25000000012,-37992.625,49266.10000000009,0.0,605010.5,0.0,0.0,0.0,0.0,13532668639.979252,0.0,0.0,0.0,0.0,0.0,0.005135553037618347,0.0
dataF,9.590257544011749e-11,105080.87904843575,9.126548646011267e-16,0.9999999999999992,-579534.1428571428,-387535.2499999999,-643003.125,-555744.3999999999,-605010.5,0.0,4.853919596738978e-07,0.0,0.0,1.384681675844455e-06,0.0,11041991141.591984,1.8420285157759023e-19,0.0,0.0,5.254770049943643e-19,0.0,0.004190358358515496
