,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,485131.45766457217,16930.85210770396,28.653694130599916,1.441861600729699e-180,0.0,-31544.3285759578,-19427.140605672204,10451.822030924319,-4482.7315348843695,485131.45766457217,286653753.09294355,-5.661454631841552e-09,0.0,1.3053413380102428e-26,0.0,0.0,0.0001154568244376176,-2.280289605272075e-21,0.0,5.257582155044997e-39,0.0,0.0
dataB,516675.78624052997,17097.269821814065,30.219783136446363,1.3021178210724939e-200,31544.3285759578,0.0,12117.187970285595,41996.15060688212,27061.59704107343,516675.78624052997,-5.661454631841552e-09,292316635.35991395,0.0,-1.926342300660233e-09,0.0,0.0,-2.280289605272075e-21,0.00011773768905792663,0.0,-7.758815728534058e-22,0.0,0.0
dataC,504558.5982702444,17328.38361395279,29.11746470478496,2.157923340631805e-186,19427.140605672204,-12117.187970285595,0.0,29878.962636596523,14944.409070787835,504558.5982702444,0.0,0.0,300272878.6723075,3.713314593530596e-10,0.0,0.0,0.0,0.0,0.00012094226104552642,1.4956284593556197e-22,0.0,0.0
dataD,474679.63563364785,17026.48281378034,27.878901404667502,4.809220920680459e-171,-10451.822030924319,-41996.15060688212,-29878.962636596523,0.0,-14934.553565808688,474679.63563364785,1.3053413380102428e-26,-1.926342300660233e-09,3.713314593530596e-10,289901117.0079573,0.0,0.0,5.257582155044997e-39,-7.758815728534058e-22,1.4956284593556197e-22,0.00011676477984156874,0.0,0.0
dataE,489614.18919945654,16446.35667880101,29.77037399599623,9.450606885051383e-195,4482.7315348843695,-27061.59704107343,-14944.409070787835,14934.553565808688,0.0,489614.18919945654,0.0,0.0,0.0,0.0,270482648.00634265,0.0,0.0,0.0,0.0,0.0,0.00010894351553863879,0.0
dataF,0.0,17263.684423169198,0.0,1.0,-485131.45766457217,-516675.78624052997,-504558.5982702444,-474679.63563364785,-489614.18919945654,0.0,0.0,0.0,0.0,0.0,0.0,298034799.8627748,0.0,0.0,0.0,0.0,0.0,0.00012004081995361095
