,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,879123.6666666667,78397.90957774295,11.213611069500361,3.496320250296834e-29,0.0,531469.5,507044.66666666674,359757.3333333336,-35459.333333333256,879123.6666666667,6146232226.159959,0.0,0.0,-4.0855288727484327e-07,0.0,0.0,0.005236011702552003,0.0,0.0,-3.480486288457424e-19,0.0,0.0
dataB,347654.16666666674,96155.38972335556,3.61554529254041,0.00029971606458548643,-531469.5,0.0,-24424.833333333256,-171712.1666666664,-566928.8333333333,347654.16666666674,0.0,9245858972.850393,0.0,0.0,0.0,0.0,0.0,0.007876602119903396,0.0,0.0,0.0,0.0
dataC,372079.0,90509.09736098348,4.110956918684234,3.940227214950689e-05,-507044.66666666674,24424.833333333256,0.0,-147287.33333333314,-542504.0,372079.0,0.0,0.0,8191896705.099987,0.0,0.0,0.0,0.0,0.0,0.00697872541025013,0.0,0.0,0.0
dataD,519366.33333333314,91453.54601292325,5.679017993025025,1.3547023021420272e-08,-359757.3333333336,171712.1666666664,147287.33333333314,0.0,-395216.66666666686,519366.33333333314,-4.0855288727484327e-07,0.0,0.0,8363751078.337871,0.0,0.0,-3.480486288457424e-19,0.0,0.0,0.007125129170521077,0.0,0.0
dataE,914583.0,43203.464715159134,21.169204970709053,1.8362888809843603e-99,35459.333333333256,566928.8333333333,542504.0,395216.66666666686,0.0,914583.0,0.0,0.0,0.0,0.0,1866539363.3940003,0.0,0.0,0.0,0.0,0.0,0.0015901159589134272,0.0
dataF,0.0,98291.51735793975,0.0,1.0,-879123.6666666667,-347654.16666666674,-372079.0,-519366.33333333314,-914583.0,0.0,0.0,0.0,0.0,0.0,0.0,9661222384.52617,0.0,0.0,0.0,0.0,0.0,0.008230452674897004
