,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,542749.5297637696,51806.776995285545,10.476419519653968,1.1086173627636214e-25,0.0,84259.34265284182,-5838.844402583665,13061.48324934463,6334.712647453416,542749.5297637696,2683942142.6392474,0.0,-3.24614762041341e-08,0.0,0.0,-1.9386304393951074e-25,0.0010585977332905972,0.0,-1.2803422466913395e-20,0.0,0.0,-7.646326484570791e-38
dataB,458490.18711092777,52693.06496020697,8.701148575380325,3.285417869299467e-18,-84259.34265284182,0.0,-90098.18705542549,-71197.85940349719,-77924.6300053884,458490.18711092777,0.0,2776559094.9005914,0.0,0.0,0.0,5.00635456291266e-08,0.0,0.0010951276175122187,0.0,0.0,0.0,1.9746012807626768e-20
dataC,548588.3741663533,52045.34298854654,10.540585240971117,5.614838774614824e-26,5838.844402583665,90098.18705542549,0.0,18900.327651928295,12173.557050037081,548588.3741663533,-3.24614762041341e-08,0.0,2708717726.79545,0.0,0.0,2.461998218116211e-08,-1.2803422466913395e-20,0.0,0.0010683696940240414,0.0,0.0,9.710588360524216e-21
dataD,529688.046514425,51414.61174677814,10.302286227953818,6.880627473447474e-25,-13061.48324934463,71197.85940349719,-18900.327651928295,0.0,-6726.770601891214,529688.046514425,0.0,0.0,0.0,2643462301.0719366,0.0,-3.282581290361488e-10,0.0,0.0,0.0,0.0010426317153029742,0.0,-1.294712377779399e-22
dataE,536414.8171163162,52110.4411426142,10.293806871607037,7.514535473946603e-25,-6334.712647453416,77924.6300053884,-12173.557050037081,6726.770601891214,0.0,536414.8171163162,0.0,0.0,0.0,0.0,2715498076.077859,-9.305109503568724e-08,0.0,0.0,0.0,0.0,0.0010710439924998716,-3.6701118373633464e-20
dataF,-5.282336729363851e-12,53129.56365726166,-9.942367988263857e-17,0.9999999999999999,-542749.5297637696,-458490.18711092777,-548588.3741663533,-529688.046514425,-536414.8171163162,0.0,-1.9386304393951074e-25,5.00635456291266e-08,2.461998218116211e-08,-3.282581290361488e-10,-9.305109503568724e-08,2822750534.4110184,-7.646326484570791e-38,1.9746012807626768e-20,9.710588360524216e-21,-1.294712377779399e-22,-3.6701118373633464e-20,0.0011133463981581695
