,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,484415.2611014478,29571.00222472543,16.38142858399334,2.595741832157194e-60,0.0,9618.737396063283,15193.689335665782,-1321.7128735754522,-49299.16111747915,484415.2611014478,874444172.5747163,-1.6304088602378862e-08,0.0,0.0,0.0,0.0,0.0003285254851432864,-6.125386600890151e-21,0.0,0.0,0.0,0.0
dataB,474796.5237053845,29952.355250078337,15.851725840629603,1.3677247344747412e-56,-9618.737396063283,0.0,5574.951939602499,-10940.450269638735,-58917.89851354243,474796.5237053845,-1.6304088602378862e-08,897143585.0268953,0.0,0.0,0.0,0.0,-6.125386600890151e-21,0.0003370535715805969,0.0,0.0,0.0,0.0
dataC,469221.571765782,30480.78361011595,15.394012757928474,1.795438538396511e-53,-15193.689335665782,-5574.951939602499,0.0,-16515.402209241234,-64492.85045314493,469221.571765782,0.0,0.0,929078169.486713,0.0,0.0,2.011631922721075e-08,0.0,0.0,0.0003490512784457707,0.0,0.0,7.557627737352157e-21
dataD,485736.97397502325,29608.22323729973,16.405475265503384,1.7475382789507806e-60,1321.7128735754522,10940.450269638735,16515.402209241234,0.0,-47977.448243903695,485736.97397502325,0.0,0.0,0.0,876646883.2697759,0.0,0.0,0.0,0.0,0.0,0.00032935303551462006,0.0,0.0
dataE,533714.422218927,29234.150667502956,18.256539356630274,1.8356331104036092e-74,49299.16111747915,58917.89851354243,64492.85045314493,47977.448243903695,0.0,533714.422218927,0.0,0.0,0.0,0.0,854635565.2502635,0.0,0.0,0.0,0.0,0.0,0.00032108346364508413,0.0
dataF,1.0286467498909998e-11,30122.88787901918,3.414834440915142e-16,0.9999999999999998,-484415.2611014478,-474796.5237053845,-469221.571765782,-485736.97397502325,-533714.422218927,0.0,0.0,0.0,2.011631922721075e-08,0.0,0.0,907388374.1719606,0.0,0.0,7.557627737352157e-21,0.0,0.0,0.00034090250148330684
