,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,497246.52698447043,13533.229141330941,36.74263708916763,1.5241604454542417e-295,0.0,6140.534104671562,25174.418894326664,-6615.432689184847,6638.043569099973,497246.52698447043,183148290.99176902,0.0,0.0,0.0,2.7608537377395025e-09,5.006243914624364e-26,7.210771770406096e-05,0.0,0.0,0.0,1.086981816019613e-21,1.9710193362908864e-38
dataB,491105.99287979887,13676.21930315931,35.909485069923505,2.1724822493910702e-282,-6140.534104671562,0.0,19033.8847896551,-12755.966793856409,497.50946442841087,491105.99287979887,0.0,187038974.42810735,2.032964205406953e-09,0.0,0.0,0.0,0.0,7.36395272633211e-05,8.004028223912462e-22,0.0,0.0,0.0
dataC,472072.10809014377,13581.093874200984,34.75950556434227,9.957895160180476e-265,-25174.418894326664,-19033.8847896551,0.0,-31789.85158351151,-18536.37532522669,472072.10809014377,0.0,2.032964205406953e-09,184446110.8198595,0.0,0.0,0.0,0.0,8.004028223912462e-22,7.261868521179974e-05,0.0,0.0,0.0
dataD,503861.9596736553,13514.671648355858,37.28258982414517,3.1426937785518664e-304,6615.432689184847,12755.966793856409,31789.85158351151,0.0,13253.47625828482,503861.9596736553,0.0,0.0,0.0,182646349.76287365,2.6524433405400393e-11,-2.1867693278790175e-29,0.0,0.0,0.0,7.191009731546097e-05,1.0442993193656019e-23,-8.609577764811676e-42
dataE,490608.48341537046,13481.440944090069,36.391398030077866,5.823341387296193e-290,-6638.043569099973,-497.50946442841087,18536.37532522669,-13253.47625828482,0.0,490608.48341537046,2.7608537377395025e-09,0.0,0.0,2.6524433405400393e-11,181749249.92898813,2.4383148811889227e-09,1.086981816019613e-21,0.0,0.0,1.0442993193656019e-23,7.155689816070018e-05,9.599943312290229e-22
dataF,6.3218378081708715e-12,13707.601330515168,4.611921265974898e-16,0.9999999999999997,-497246.52698447043,-491105.99287979887,-472072.10809014377,-503861.9596736553,-490608.48341537046,0.0,5.006243914624364e-26,0.0,0.0,-2.1867693278790175e-29,2.4383148811889227e-09,187898334.2363412,1.9710193362908864e-38,0.0,0.0,-8.609577764811676e-42,9.599943312290229e-22,7.397786770932137e-05
