,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,364685.1428571429,118422.00269980944,3.079538722053125,0.0020732141810935823,0.0,58499.1428571429,-120894.28571428539,-130912.8571428571,-64618.142857142666,364685.14285714284,14023770723.433676,0.0,0.0,0.0,0.0,1.2745822220475869e-06,0.004901960784313727,0.0,0.0,0.0,0.0,4.455258284008034e-19
dataB,306186.0,118422.0026998094,2.5855499233209036,0.009722379201464305,-58499.1428571429,0.0,-179393.4285714283,-189412.0,-123117.28571428556,306185.99999999994,0.0,14023770723.433664,0.0,0.0,0.0,0.0,0.0,0.004901960784313724,0.0,0.0,0.0,0.0
dataC,485579.4285714283,118422.0026998094,4.10041561112874,4.124088073058638e-05,120894.28571428539,179393.4285714283,0.0,-10018.571428571711,56276.142857142724,485579.42857142823,0.0,0.0,14023770723.433662,0.0,0.0,0.0,0.0,0.0,0.004901960784313723,0.0,0.0,0.0
dataD,495598.0,118422.00269980941,4.185016202236526,2.8514576200581262e-05,130912.8571428571,189412.0,10018.571428571711,0.0,66294.71428571444,495597.99999999994,0.0,0.0,0.0,14023770723.433668,0.0,0.0,0.0,0.0,0.0,0.0049019607843137246,0.0,0.0
dataE,429303.28571428556,118422.00269980938,3.6251986617937564,0.00028873940339782864,64618.142857142666,123117.28571428556,-56276.142857142724,-66294.71428571444,0.0,429303.2857142855,0.0,0.0,0.0,0.0,14023770723.43366,0.0,0.0,0.0,0.0,0.0,0.004901960784313722,0.0
dataF,4.9436445032688416e-11,118422.00269980947,4.17459964412238e-16,0.9999999999999997,-364685.14285714284,-306185.99999999994,-485579.42857142823,-495597.99999999994,-429303.2857142855,0.0,1.2745822220475869e-06,0.0,0.0,0.0,0.0,14023770723.43368,4.455258284008034e-19,0.0,0.0,0.0,0.0,0.004901960784313729
